Time: 1684820962, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820972, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820982, number of blocks: 23, average latency 1: 15.33, average latency 2: 12.00, average tps: 233.83, average Mbps: 1.85 
Time: 1684820992, number of blocks: 23, average latency 1: 15.33, average latency 2: 12.00, average tps: 233.83, average Mbps: 1.85 
Time: 1684821002, number of blocks: 26, average latency 1: 15.54, average latency 2: 9.00, average tps: 732.11, average Mbps: 5.78 
Time: 1684821012, number of blocks: 26, average latency 1: 15.54, average latency 2: 9.00, average tps: 732.11, average Mbps: 5.78 
Time: 1684821026, number of blocks: 27, average latency 1: 17.33, average latency 2: 10.00, average tps: 1131.70, average Mbps: 8.93 
Time: 1684821036, number of blocks: 27, average latency 1: 17.33, average latency 2: 10.00, average tps: 1131.70, average Mbps: 8.93 
Time: 1684821046, number of blocks: 31, average latency 1: 23.10, average latency 2: 8.00, average tps: 1142.12, average Mbps: 9.01 
Time: 1684821056, number of blocks: 31, average latency 1: 23.10, average latency 2: 8.00, average tps: 1142.12, average Mbps: 9.01 
Time: 1684821066, number of blocks: 25, average latency 1: 16.58, average latency 2: 8.00, average tps: 706.38, average Mbps: 5.57 
Time: 1684821076, number of blocks: 27, average latency 1: 15.26, average latency 2: 8.00, average tps: 821.88, average Mbps: 6.49 
Time: 1684821086, number of blocks: 27, average latency 1: 15.26, average latency 2: 8.00, average tps: 821.88, average Mbps: 6.49 
Time: 1684821096, number of blocks: 29, average latency 1: 16.48, average latency 2: 8.00, average tps: 564.75, average Mbps: 4.46 
Time: 1684821106, number of blocks: 24, average latency 1: 14.85, average latency 2: 8.00, average tps: 609.88, average Mbps: 4.81 
Time: 1684821117, number of blocks: 23, average latency 1: 15.92, average latency 2: 8.00, average tps: 490.00, average Mbps: 3.87 
Time: 1684821127, number of blocks: 23, average latency 1: 15.92, average latency 2: 8.00, average tps: 490.00, average Mbps: 3.87 
Time: 1684821137, number of blocks: 27, average latency 1: 13.62, average latency 2: 8.00, average tps: 658.50, average Mbps: 5.20 
Time: 1684821147, number of blocks: 27, average latency 1: 13.62, average latency 2: 8.00, average tps: 658.50, average Mbps: 5.20 
Time: 1684821157, number of blocks: 32, average latency 1: 14.89, average latency 2: 8.00, average tps: 1193.38, average Mbps: 9.42 
Time: 1684821167, number of blocks: 32, average latency 1: 14.89, average latency 2: 8.00, average tps: 1193.38, average Mbps: 9.42 
Time: 1684821178, number of blocks: 32, average latency 1: 18.59, average latency 2: 8.00, average tps: 1490.38, average Mbps: 11.76 
Time: 1684821188, number of blocks: 32, average latency 1: 18.59, average latency 2: 8.00, average tps: 1490.38, average Mbps: 11.76 
Time: 1684821202, number of blocks: 23, average latency 1: 20.44, average latency 2: 8.00, average tps: 1529.75, average Mbps: 12.07 
Time: 1684821212, number of blocks: 23, average latency 1: 20.44, average latency 2: 8.00, average tps: 1529.75, average Mbps: 12.07 
Time: 1684821225, number of blocks: 29, average latency 1: 21.22, average latency 2: 8.00, average tps: 1434.25, average Mbps: 11.32 
Time: 1684821235, number of blocks: 29, average latency 1: 21.22, average latency 2: 8.00, average tps: 1434.25, average Mbps: 11.32 
Time: 1684821246, number of blocks: 32, average latency 1: 19.73, average latency 2: 8.00, average tps: 1256.50, average Mbps: 9.91 
Time: 1684821256, number of blocks: 32, average latency 1: 19.73, average latency 2: 8.00, average tps: 1256.50, average Mbps: 9.91 
Time: 1684821266, number of blocks: 34, average latency 1: 19.13, average latency 2: 8.00, average tps: 911.62, average Mbps: 7.19 
Time: 1684821278, number of blocks: 34, average latency 1: 16.85, average latency 2: 8.00, average tps: 762.88, average Mbps: 6.02 
Time: 1684821288, number of blocks: 34, average latency 1: 16.85, average latency 2: 8.00, average tps: 762.88, average Mbps: 6.02 
Time: 1684821298, number of blocks: 29, average latency 1: 15.46, average latency 2: 8.00, average tps: 751.00, average Mbps: 5.93 
Time: 1684821309, number of blocks: 26, average latency 1: 17.31, average latency 2: 8.00, average tps: 731.38, average Mbps: 5.77 
Time: 1684821319, number of blocks: 26, average latency 1: 17.31, average latency 2: 8.00, average tps: 731.38, average Mbps: 5.77 
Time: 1684821329, number of blocks: 30, average latency 1: 16.01, average latency 2: 8.00, average tps: 644.38, average Mbps: 5.08 
Time: 1684821339, number of blocks: 29, average latency 1: 15.22, average latency 2: 8.00, average tps: 593.38, average Mbps: 4.68 
Time: 1684821349, number of blocks: 29, average latency 1: 15.22, average latency 2: 8.00, average tps: 593.38, average Mbps: 4.68 
Time: 1684821359, number of blocks: 25, average latency 1: 14.86, average latency 2: 8.00, average tps: 821.50, average Mbps: 6.48 
Time: 1684821371, number of blocks: 23, average latency 1: 16.65, average latency 2: 8.00, average tps: 711.25, average Mbps: 5.61 
Time: 1684821381, number of blocks: 23, average latency 1: 16.65, average latency 2: 8.00, average tps: 711.25, average Mbps: 5.61 
Time: 1684821391, number of blocks: 27, average latency 1: 16.46, average latency 2: 8.00, average tps: 679.12, average Mbps: 5.36 
