Time: 1684820962, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820972, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820982, number of blocks: 23, average latency 1: 18.32, average latency 2: 15.01, average tps: 187.00, average Mbps: 1.48 
Time: 1684820992, number of blocks: 23, average latency 1: 18.32, average latency 2: 15.02, average tps: 186.88, average Mbps: 1.47 
Time: 1684821002, number of blocks: 26, average latency 1: 19.54, average latency 2: 13.00, average tps: 506.87, average Mbps: 4.00 
Time: 1684821012, number of blocks: 26, average latency 1: 19.53, average latency 2: 13.03, average tps: 505.85, average Mbps: 3.99 
Time: 1684821026, number of blocks: 27, average latency 1: 23.34, average latency 2: 16.01, average tps: 706.74, average Mbps: 5.58 
Time: 1684821036, number of blocks: 27, average latency 1: 23.33, average latency 2: 15.99, average tps: 707.87, average Mbps: 5.59 
Time: 1684821046, number of blocks: 31, average latency 1: 28.10, average latency 2: 12.99, average tps: 703.19, average Mbps: 5.55 
Time: 1684821056, number of blocks: 31, average latency 1: 28.09, average latency 2: 13.00, average tps: 702.83, average Mbps: 5.55 
Time: 1684821066, number of blocks: 25, average latency 1: 20.57, average latency 2: 11.99, average tps: 471.26, average Mbps: 3.72 
Time: 1684821076, number of blocks: 27, average latency 1: 19.26, average latency 2: 11.99, average tps: 548.56, average Mbps: 4.33 
Time: 1684821086, number of blocks: 27, average latency 1: 19.26, average latency 2: 12.01, average tps: 547.29, average Mbps: 4.32 
Time: 1684821096, number of blocks: 29, average latency 1: 19.51, average latency 2: 11.01, average tps: 410.33, average Mbps: 3.24 
Time: 1684821106, number of blocks: 24, average latency 1: 17.85, average latency 2: 11.01, average tps: 443.23, average Mbps: 3.50 
Time: 1684821117, number of blocks: 23, average latency 1: 18.91, average latency 2: 11.01, average tps: 356.12, average Mbps: 2.81 
Time: 1684821127, number of blocks: 23, average latency 1: 18.95, average latency 2: 11.01, average tps: 355.93, average Mbps: 2.81 
Time: 1684821137, number of blocks: 27, average latency 1: 17.62, average latency 2: 11.99, average tps: 439.25, average Mbps: 3.47 
Time: 1684821147, number of blocks: 27, average latency 1: 17.62, average latency 2: 12.02, average tps: 438.35, average Mbps: 3.46 
Time: 1684821157, number of blocks: 32, average latency 1: 19.90, average latency 2: 13.02, average tps: 733.52, average Mbps: 5.79 
Time: 1684821167, number of blocks: 32, average latency 1: 19.90, average latency 2: 13.01, average tps: 733.99, average Mbps: 5.79 
Time: 1684821178, number of blocks: 32, average latency 1: 24.58, average latency 2: 14.01, average tps: 851.30, average Mbps: 6.72 
Time: 1684821188, number of blocks: 32, average latency 1: 24.60, average latency 2: 14.00, average tps: 851.82, average Mbps: 6.72 
Time: 1684821202, number of blocks: 23, average latency 1: 26.45, average latency 2: 14.01, average tps: 873.70, average Mbps: 6.89 
Time: 1684821212, number of blocks: 23, average latency 1: 26.43, average latency 2: 14.01, average tps: 873.65, average Mbps: 6.89 
Time: 1684821225, number of blocks: 29, average latency 1: 27.22, average latency 2: 14.01, average tps: 819.06, average Mbps: 6.46 
Time: 1684821235, number of blocks: 29, average latency 1: 27.21, average latency 2: 14.01, average tps: 818.95, average Mbps: 6.46 
Time: 1684821246, number of blocks: 32, average latency 1: 24.73, average latency 2: 13.00, average tps: 773.11, average Mbps: 6.10 
Time: 1684821256, number of blocks: 32, average latency 1: 24.72, average latency 2: 13.00, average tps: 773.31, average Mbps: 6.10 
Time: 1684821266, number of blocks: 34, average latency 1: 23.12, average latency 2: 11.99, average tps: 608.12, average Mbps: 4.80 
Time: 1684821278, number of blocks: 34, average latency 1: 20.86, average latency 2: 12.00, average tps: 508.47, average Mbps: 4.01 
Time: 1684821288, number of blocks: 34, average latency 1: 20.85, average latency 2: 12.01, average tps: 508.24, average Mbps: 4.01 
Time: 1684821298, number of blocks: 29, average latency 1: 19.46, average latency 2: 12.02, average tps: 499.99, average Mbps: 3.95 
Time: 1684821309, number of blocks: 26, average latency 1: 21.32, average latency 2: 11.98, average tps: 488.56, average Mbps: 3.86 
Time: 1684821319, number of blocks: 26, average latency 1: 21.30, average latency 2: 12.00, average tps: 487.43, average Mbps: 3.85 
Time: 1684821329, number of blocks: 30, average latency 1: 20.02, average latency 2: 12.01, average tps: 429.20, average Mbps: 3.39 
Time: 1684821339, number of blocks: 29, average latency 1: 18.21, average latency 2: 11.00, average tps: 431.40, average Mbps: 3.40 
Time: 1684821349, number of blocks: 29, average latency 1: 18.18, average latency 2: 10.99, average tps: 431.76, average Mbps: 3.41 
Time: 1684821359, number of blocks: 25, average latency 1: 18.86, average latency 2: 12.00, average tps: 547.74, average Mbps: 4.32 
Time: 1684821371, number of blocks: 23, average latency 1: 20.64, average latency 2: 12.00, average tps: 474.24, average Mbps: 3.74 
Time: 1684821381, number of blocks: 23, average latency 1: 20.66, average latency 2: 12.01, average tps: 473.63, average Mbps: 3.74 
Time: 1684821391, number of blocks: 27, average latency 1: 20.46, average latency 2: 12.01, average tps: 452.53, average Mbps: 3.57 
