Time: 1684811818, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811828, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811838, number of blocks: 11, average latency 1: 12.89, average latency 2: 9.00, average tps: 305.22, average Mbps: 2.41 
Time: 1684811849, number of blocks: 25, average latency 1: 12.10, average latency 2: 7.00, average tps: 735.29, average Mbps: 5.80 
Time: 1684811859, number of blocks: 25, average latency 1: 12.10, average latency 2: 7.00, average tps: 735.29, average Mbps: 5.80 
Time: 1684811869, number of blocks: 35, average latency 1: 13.36, average latency 2: 7.00, average tps: 1246.71, average Mbps: 9.84 
Time: 1684811879, number of blocks: 35, average latency 1: 13.36, average latency 2: 7.00, average tps: 1246.71, average Mbps: 9.84 
Time: 1684811892, number of blocks: 65, average latency 1: 16.99, average latency 2: 7.00, average tps: 1789.86, average Mbps: 14.12 
Time: 1684811902, number of blocks: 72, average latency 1: 16.82, average latency 2: 6.00, average tps: 773.00, average Mbps: 6.10 
Time: 1684811913, number of blocks: 67, average latency 1: 12.51, average latency 2: 6.00, average tps: 707.50, average Mbps: 5.58 
Time: 1684811923, number of blocks: 67, average latency 1: 12.51, average latency 2: 6.00, average tps: 707.50, average Mbps: 5.58 
Time: 1684811933, number of blocks: 64, average latency 1: 10.95, average latency 2: 6.00, average tps: 814.83, average Mbps: 6.43 
Time: 1684811943, number of blocks: 71, average latency 1: 13.67, average latency 2: 6.00, average tps: 652.67, average Mbps: 5.15 
Time: 1684811953, number of blocks: 64, average latency 1: 11.54, average latency 2: 6.00, average tps: 562.17, average Mbps: 4.44 
Time: 1684811963, number of blocks: 70, average latency 1: 12.01, average latency 2: 7.00, average tps: 534.14, average Mbps: 4.21 
Time: 1684811973, number of blocks: 71, average latency 1: 12.29, average latency 2: 6.00, average tps: 474.00, average Mbps: 3.74 
Time: 1684811983, number of blocks: 66, average latency 1: 10.28, average latency 2: 6.00, average tps: 495.17, average Mbps: 3.91 
Time: 1684811993, number of blocks: 68, average latency 1: 10.46, average latency 2: 6.00, average tps: 913.83, average Mbps: 7.21 
Time: 1684812003, number of blocks: 68, average latency 1: 10.46, average latency 2: 6.00, average tps: 913.83, average Mbps: 7.21 
Time: 1684812013, number of blocks: 69, average latency 1: 12.37, average latency 2: 7.00, average tps: 1351.71, average Mbps: 10.67 
Time: 1684812023, number of blocks: 69, average latency 1: 12.37, average latency 2: 7.00, average tps: 1351.71, average Mbps: 10.67 
Time: 1684812033, number of blocks: 67, average latency 1: 16.02, average latency 2: 7.00, average tps: 1518.57, average Mbps: 11.98 
Time: 1684812043, number of blocks: 67, average latency 1: 16.02, average latency 2: 7.00, average tps: 1518.57, average Mbps: 11.98 
Time: 1684812055, number of blocks: 71, average latency 1: 16.01, average latency 2: 6.00, average tps: 2222.67, average Mbps: 17.54 
Time: 1684812065, number of blocks: 71, average latency 1: 16.01, average latency 2: 6.00, average tps: 2222.67, average Mbps: 17.54 
Time: 1684812077, number of blocks: 68, average latency 1: 17.54, average latency 2: 6.00, average tps: 2123.83, average Mbps: 16.76 
Time: 1684812087, number of blocks: 68, average latency 1: 17.54, average latency 2: 6.00, average tps: 2123.83, average Mbps: 16.76 
Time: 1684812097, number of blocks: 72, average latency 1: 17.19, average latency 2: 6.00, average tps: 1513.33, average Mbps: 11.94 
Time: 1684812109, number of blocks: 67, average latency 1: 15.92, average latency 2: 6.00, average tps: 1237.83, average Mbps: 9.77 
Time: 1684812119, number of blocks: 67, average latency 1: 15.92, average latency 2: 6.00, average tps: 1237.83, average Mbps: 9.77 
Time: 1684812129, number of blocks: 71, average latency 1: 14.18, average latency 2: 6.00, average tps: 901.67, average Mbps: 7.11 
Time: 1684812139, number of blocks: 64, average latency 1: 12.86, average latency 2: 6.00, average tps: 746.00, average Mbps: 5.89 
