Time: 1684810270, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684810280, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684810290, number of blocks: 25, average latency 1: 15.68, average latency 2: 12.01, average tps: 372.52, average Mbps: 2.94 
Time: 1684810300, number of blocks: 25, average latency 1: 15.66, average latency 2: 12.00, average tps: 372.97, average Mbps: 2.94 
Time: 1684810310, number of blocks: 38, average latency 1: 17.65, average latency 2: 10.00, average tps: 820.17, average Mbps: 6.47 
Time: 1684810320, number of blocks: 38, average latency 1: 17.65, average latency 2: 10.00, average tps: 819.92, average Mbps: 6.47 
Time: 1684810330, number of blocks: 38, average latency 1: 19.59, average latency 2: 10.99, average tps: 836.47, average Mbps: 6.60 
Time: 1684810340, number of blocks: 38, average latency 1: 19.59, average latency 2: 11.00, average tps: 836.34, average Mbps: 6.60 
Time: 1684810350, number of blocks: 42, average latency 1: 18.63, average latency 2: 9.00, average tps: 1166.40, average Mbps: 9.20 
Time: 1684810360, number of blocks: 42, average latency 1: 18.63, average latency 2: 9.00, average tps: 1165.31, average Mbps: 9.20 
Time: 1684810370, number of blocks: 44, average latency 1: 19.13, average latency 2: 9.00, average tps: 1171.72, average Mbps: 9.25 
Time: 1684810380, number of blocks: 44, average latency 1: 19.12, average latency 2: 8.99, average tps: 1172.70, average Mbps: 9.25 
Time: 1684810390, number of blocks: 40, average latency 1: 19.48, average latency 2: 9.00, average tps: 1183.42, average Mbps: 9.34 
Time: 1684810400, number of blocks: 40, average latency 1: 19.48, average latency 2: 8.99, average tps: 1185.41, average Mbps: 9.35 
Time: 1684811106, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811116, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811126, number of blocks: 11, average latency 1: 16.11, average latency 2: 12.00, average tps: 324.40, average Mbps: 2.56 
Time: 1684811136, number of blocks: 11, average latency 1: 16.07, average latency 2: 12.00, average tps: 324.47, average Mbps: 2.56 
Time: 1684811146, number of blocks: 23, average latency 1: 18.27, average latency 2: 11.99, average tps: 587.94, average Mbps: 4.64 
Time: 1684811156, number of blocks: 23, average latency 1: 18.26, average latency 2: 12.00, average tps: 587.24, average Mbps: 4.63 
Time: 1684811166, number of blocks: 38, average latency 1: 19.97, average latency 2: 12.00, average tps: 715.68, average Mbps: 5.65 
Time: 1684811176, number of blocks: 38, average latency 1: 19.98, average latency 2: 12.01, average tps: 715.28, average Mbps: 5.64 
Time: 1684811186, number of blocks: 65, average latency 1: 19.82, average latency 2: 11.00, average tps: 922.45, average Mbps: 7.28 
Time: 1684811196, number of blocks: 65, average latency 1: 19.84, average latency 2: 11.01, average tps: 922.10, average Mbps: 7.28 
Time: 1684811206, number of blocks: 74, average latency 1: 21.36, average latency 2: 12.01, average tps: 881.84, average Mbps: 6.96 
Time: 1684811220, number of blocks: 68, average latency 1: 22.24, average latency 2: 12.00, average tps: 904.66, average Mbps: 7.14 
Time: 1684811230, number of blocks: 68, average latency 1: 22.23, average latency 2: 12.00, average tps: 904.79, average Mbps: 7.14 
Time: 1684811240, number of blocks: 65, average latency 1: 21.62, average latency 2: 12.02, average tps: 923.64, average Mbps: 7.29 
Time: 1684811250, number of blocks: 65, average latency 1: 21.61, average latency 2: 12.01, average tps: 924.86, average Mbps: 7.30 
