Time: 1684811818, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811828, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684811838, number of blocks: 11, average latency 1: 15.88, average latency 2: 12.02, average tps: 228.62, average Mbps: 1.80 
Time: 1684811849, number of blocks: 25, average latency 1: 15.09, average latency 2: 9.98, average tps: 515.68, average Mbps: 4.07 
Time: 1684811859, number of blocks: 25, average latency 1: 15.09, average latency 2: 9.99, average tps: 515.12, average Mbps: 4.06 
Time: 1684811869, number of blocks: 35, average latency 1: 18.35, average latency 2: 12.00, average tps: 727.19, average Mbps: 5.74 
Time: 1684811879, number of blocks: 35, average latency 1: 18.37, average latency 2: 12.00, average tps: 727.22, average Mbps: 5.74 
Time: 1684811892, number of blocks: 65, average latency 1: 23.00, average latency 2: 13.00, average tps: 963.92, average Mbps: 7.61 
Time: 1684811902, number of blocks: 72, average latency 1: 19.82, average latency 2: 9.00, average tps: 515.57, average Mbps: 4.07 
Time: 1684811913, number of blocks: 67, average latency 1: 15.51, average latency 2: 9.01, average tps: 471.15, average Mbps: 3.72 
Time: 1684811923, number of blocks: 67, average latency 1: 15.53, average latency 2: 8.99, average tps: 472.28, average Mbps: 3.73 
Time: 1684811933, number of blocks: 64, average latency 1: 13.96, average latency 2: 8.99, average tps: 543.98, average Mbps: 4.29 
Time: 1684811943, number of blocks: 71, average latency 1: 16.65, average latency 2: 9.01, average tps: 434.80, average Mbps: 3.43 
Time: 1684811953, number of blocks: 64, average latency 1: 14.56, average latency 2: 9.03, average tps: 373.53, average Mbps: 2.95 
Time: 1684811963, number of blocks: 70, average latency 1: 15.03, average latency 2: 10.00, average tps: 373.81, average Mbps: 2.95 
Time: 1684811973, number of blocks: 71, average latency 1: 15.28, average latency 2: 8.98, average tps: 316.80, average Mbps: 2.50 
Time: 1684811983, number of blocks: 66, average latency 1: 13.27, average latency 2: 8.97, average tps: 331.24, average Mbps: 2.61 
Time: 1684811993, number of blocks: 68, average latency 1: 14.45, average latency 2: 10.00, average tps: 548.30, average Mbps: 4.33 
Time: 1684812003, number of blocks: 68, average latency 1: 14.46, average latency 2: 10.00, average tps: 548.22, average Mbps: 4.33 
Time: 1684812013, number of blocks: 69, average latency 1: 17.39, average latency 2: 11.99, average tps: 789.29, average Mbps: 6.23 
Time: 1684812023, number of blocks: 69, average latency 1: 17.37, average latency 2: 12.00, average tps: 788.76, average Mbps: 6.22 
Time: 1684812033, number of blocks: 67, average latency 1: 22.03, average latency 2: 13.01, average tps: 817.16, average Mbps: 6.45 
Time: 1684812043, number of blocks: 67, average latency 1: 22.02, average latency 2: 13.00, average tps: 817.82, average Mbps: 6.45 
Time: 1684812055, number of blocks: 71, average latency 1: 23.01, average latency 2: 12.99, average tps: 1026.34, average Mbps: 8.10 
Time: 1684812065, number of blocks: 71, average latency 1: 23.01, average latency 2: 12.99, average tps: 1026.33, average Mbps: 8.10 
Time: 1684812077, number of blocks: 68, average latency 1: 23.53, average latency 2: 12.01, average tps: 1060.97, average Mbps: 8.37 
Time: 1684812087, number of blocks: 68, average latency 1: 23.52, average latency 2: 12.01, average tps: 1061.47, average Mbps: 8.38 
Time: 1684812097, number of blocks: 72, average latency 1: 22.21, average latency 2: 11.01, average tps: 825.07, average Mbps: 6.51 
Time: 1684812109, number of blocks: 67, average latency 1: 19.93, average latency 2: 10.01, average tps: 742.07, average Mbps: 5.86 
Time: 1684812119, number of blocks: 67, average latency 1: 19.92, average latency 2: 9.99, average tps: 743.33, average Mbps: 5.87 
Time: 1684812129, number of blocks: 71, average latency 1: 18.17, average latency 2: 10.00, average tps: 540.95, average Mbps: 4.27 
Time: 1684812139, number of blocks: 64, average latency 1: 15.86, average latency 2: 8.99, average tps: 497.90, average Mbps: 3.93 
