Time: 1684813889, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684813899, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684813909, number of blocks: 6, average latency 1: 15.33, average latency 2: 12.00, average tps: 198.17, average Mbps: 1.56 
Time: 1684813919, number of blocks: 6, average latency 1: 15.33, average latency 2: 12.00, average tps: 198.17, average Mbps: 1.56 
Time: 1684813929, number of blocks: 15, average latency 1: 14.75, average latency 2: 9.00, average tps: 645.67, average Mbps: 5.09 
Time: 1684813939, number of blocks: 15, average latency 1: 14.75, average latency 2: 9.00, average tps: 645.67, average Mbps: 5.09 
Time: 1684813949, number of blocks: 22, average latency 1: 15.69, average latency 2: 8.00, average tps: 1288.25, average Mbps: 10.17 
Time: 1684813959, number of blocks: 22, average latency 1: 15.69, average latency 2: 8.00, average tps: 1288.25, average Mbps: 10.17 
Time: 1684813969, number of blocks: 47, average latency 1: 21.66, average latency 2: 8.00, average tps: 1274.25, average Mbps: 10.05 
Time: 1684813979, number of blocks: 47, average latency 1: 21.66, average latency 2: 8.00, average tps: 1274.25, average Mbps: 10.05 
Time: 1684813989, number of blocks: 50, average latency 1: 16.84, average latency 2: 8.00, average tps: 676.88, average Mbps: 5.34 
Time: 1684813999, number of blocks: 43, average latency 1: 15.77, average latency 2: 8.00, average tps: 723.25, average Mbps: 5.71 
Time: 1684814009, number of blocks: 43, average latency 1: 15.77, average latency 2: 8.00, average tps: 723.25, average Mbps: 5.71 
Time: 1684814019, number of blocks: 51, average latency 1: 17.32, average latency 2: 8.00, average tps: 669.88, average Mbps: 5.29 
Time: 1684814029, number of blocks: 50, average latency 1: 15.09, average latency 2: 8.00, average tps: 619.50, average Mbps: 4.89 
Time: 1684814039, number of blocks: 50, average latency 1: 15.09, average latency 2: 8.00, average tps: 619.50, average Mbps: 4.89 
Time: 1684814049, number of blocks: 53, average latency 1: 16.17, average latency 2: 8.00, average tps: 532.75, average Mbps: 4.20 
Time: 1684814059, number of blocks: 50, average latency 1: 14.54, average latency 2: 8.00, average tps: 559.00, average Mbps: 4.41 
Time: 1684814069, number of blocks: 50, average latency 1: 14.54, average latency 2: 8.00, average tps: 559.00, average Mbps: 4.41 
Time: 1684814079, number of blocks: 53, average latency 1: 15.47, average latency 2: 8.00, average tps: 1008.38, average Mbps: 7.96 
Time: 1684814089, number of blocks: 53, average latency 1: 15.47, average latency 2: 8.00, average tps: 1008.38, average Mbps: 7.96 
Time: 1684814101, number of blocks: 45, average latency 1: 17.84, average latency 2: 8.00, average tps: 1590.62, average Mbps: 12.55 
Time: 1684814111, number of blocks: 45, average latency 1: 17.84, average latency 2: 8.00, average tps: 1590.62, average Mbps: 12.55 
Time: 1684814121, number of blocks: 45, average latency 1: 17.84, average latency 2: 8.00, average tps: 1590.62, average Mbps: 12.55 
Time: 1684814131, number of blocks: 54, average latency 1: 20.30, average latency 2: 8.00, average tps: 1972.12, average Mbps: 15.56 
Time: 1684814141, number of blocks: 54, average latency 1: 20.30, average latency 2: 8.00, average tps: 1972.12, average Mbps: 15.56 
Time: 1684814157, number of blocks: 46, average latency 1: 23.10, average latency 2: 8.00, average tps: 1813.62, average Mbps: 14.31 
Time: 1684814167, number of blocks: 46, average latency 1: 23.10, average latency 2: 8.00, average tps: 1813.62, average Mbps: 14.31 
Time: 1684814179, number of blocks: 50, average latency 1: 21.89, average latency 2: 9.00, average tps: 1289.33, average Mbps: 10.17 
Time: 1684814189, number of blocks: 50, average latency 1: 21.89, average latency 2: 9.00, average tps: 1289.33, average Mbps: 10.17 
Time: 1684814199, number of blocks: 55, average latency 1: 20.23, average latency 2: 9.00, average tps: 882.67, average Mbps: 6.96 
Time: 1684814209, number of blocks: 55, average latency 1: 20.23, average latency 2: 9.00, average tps: 882.67, average Mbps: 6.96 
Time: 1684814219, number of blocks: 52, average latency 1: 17.46, average latency 2: 8.00, average tps: 800.62, average Mbps: 6.32 
Time: 1684814229, number of blocks: 46, average latency 1: 15.29, average latency 2: 8.00, average tps: 875.88, average Mbps: 6.91 
Time: 1684814239, number of blocks: 46, average latency 1: 15.29, average latency 2: 8.00, average tps: 875.88, average Mbps: 6.91 
Time: 1684814249, number of blocks: 47, average latency 1: 17.19, average latency 2: 8.00, average tps: 661.75, average Mbps: 5.22 
Time: 1684814259, number of blocks: 48, average latency 1: 16.47, average latency 2: 8.00, average tps: 579.75, average Mbps: 4.57 
Time: 1684814269, number of blocks: 48, average latency 1: 16.47, average latency 2: 8.00, average tps: 579.75, average Mbps: 4.57 
Time: 1684814279, number of blocks: 51, average latency 1: 15.25, average latency 2: 8.00, average tps: 630.75, average Mbps: 4.98 
Time: 1684814290, number of blocks: 48, average latency 1: 16.80, average latency 2: 8.00, average tps: 850.62, average Mbps: 6.71 
Time: 1684814300, number of blocks: 48, average latency 1: 16.80, average latency 2: 8.00, average tps: 850.62, average Mbps: 6.71 
Time: 1684814310, number of blocks: 51, average latency 1: 17.14, average latency 2: 9.00, average tps: 648.56, average Mbps: 5.12 
Time: 1684814320, number of blocks: 51, average latency 1: 17.14, average latency 2: 9.00, average tps: 648.56, average Mbps: 5.12 
