Time: 1684813889, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684813899, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684813909, number of blocks: 6, average latency 1: 17.37, average latency 2: 14.01, average tps: 169.76, average Mbps: 1.34 
Time: 1684813919, number of blocks: 6, average latency 1: 17.30, average latency 2: 13.99, average tps: 170.01, average Mbps: 1.34 
Time: 1684813929, number of blocks: 15, average latency 1: 18.74, average latency 2: 13.00, average tps: 446.91, average Mbps: 3.53 
Time: 1684813939, number of blocks: 15, average latency 1: 18.76, average latency 2: 13.01, average tps: 446.56, average Mbps: 3.52 
Time: 1684813949, number of blocks: 22, average latency 1: 20.69, average latency 2: 12.99, average tps: 793.13, average Mbps: 6.26 
Time: 1684813959, number of blocks: 22, average latency 1: 20.68, average latency 2: 13.01, average tps: 792.34, average Mbps: 6.25 
Time: 1684813969, number of blocks: 47, average latency 1: 26.65, average latency 2: 13.01, average tps: 783.36, average Mbps: 6.18 
Time: 1684813979, number of blocks: 47, average latency 1: 26.65, average latency 2: 13.01, average tps: 783.60, average Mbps: 6.18 
Time: 1684813989, number of blocks: 50, average latency 1: 20.85, average latency 2: 12.00, average tps: 451.18, average Mbps: 3.56 
Time: 1684813999, number of blocks: 43, average latency 1: 19.76, average latency 2: 12.00, average tps: 482.33, average Mbps: 3.81 
Time: 1684814009, number of blocks: 43, average latency 1: 19.75, average latency 2: 12.02, average tps: 481.31, average Mbps: 3.80 
Time: 1684814019, number of blocks: 51, average latency 1: 21.33, average latency 2: 11.99, average tps: 447.02, average Mbps: 3.53 
Time: 1684814029, number of blocks: 50, average latency 1: 18.10, average latency 2: 10.99, average tps: 451.02, average Mbps: 3.56 
Time: 1684814039, number of blocks: 50, average latency 1: 18.10, average latency 2: 11.01, average tps: 449.98, average Mbps: 3.55 
Time: 1684814049, number of blocks: 53, average latency 1: 19.16, average latency 2: 11.01, average tps: 386.93, average Mbps: 3.05 
Time: 1684814059, number of blocks: 50, average latency 1: 17.54, average latency 2: 10.99, average tps: 407.06, average Mbps: 3.21 
Time: 1684814069, number of blocks: 50, average latency 1: 17.52, average latency 2: 11.01, average tps: 406.31, average Mbps: 3.21 
Time: 1684814079, number of blocks: 53, average latency 1: 20.47, average latency 2: 13.00, average tps: 620.32, average Mbps: 4.89 
Time: 1684814089, number of blocks: 53, average latency 1: 20.48, average latency 2: 13.01, average tps: 620.23, average Mbps: 4.89 
Time: 1684814101, number of blocks: 45, average latency 1: 23.84, average latency 2: 14.00, average tps: 908.76, average Mbps: 7.17 
Time: 1684814111, number of blocks: 45, average latency 1: 23.83, average latency 2: 14.00, average tps: 908.62, average Mbps: 7.17 
Time: 1684814121, number of blocks: 45, average latency 1: 23.81, average latency 2: 14.01, average tps: 908.41, average Mbps: 7.17 
Time: 1684814131, number of blocks: 54, average latency 1: 28.30, average latency 2: 16.00, average tps: 986.24, average Mbps: 7.78 
Time: 1684814141, number of blocks: 54, average latency 1: 28.29, average latency 2: 15.99, average tps: 986.57, average Mbps: 7.78 
Time: 1684814157, number of blocks: 46, average latency 1: 30.09, average latency 2: 15.01, average tps: 966.74, average Mbps: 7.63 
Time: 1684814167, number of blocks: 46, average latency 1: 30.09, average latency 2: 14.99, average tps: 967.73, average Mbps: 7.64 
Time: 1684814179, number of blocks: 50, average latency 1: 27.90, average latency 2: 15.00, average tps: 773.40, average Mbps: 6.10 
Time: 1684814189, number of blocks: 50, average latency 1: 27.89, average latency 2: 14.99, average tps: 773.87, average Mbps: 6.11 
Time: 1684814199, number of blocks: 55, average latency 1: 25.21, average latency 2: 13.99, average tps: 567.75, average Mbps: 4.48 
Time: 1684814209, number of blocks: 55, average latency 1: 25.23, average latency 2: 13.99, average tps: 567.81, average Mbps: 4.48 
Time: 1684814219, number of blocks: 52, average latency 1: 21.45, average latency 2: 12.02, average tps: 533.04, average Mbps: 4.21 
Time: 1684814229, number of blocks: 46, average latency 1: 19.29, average latency 2: 12.00, average tps: 583.98, average Mbps: 4.61 
Time: 1684814239, number of blocks: 46, average latency 1: 19.29, average latency 2: 12.01, average tps: 583.67, average Mbps: 4.61 
Time: 1684814249, number of blocks: 47, average latency 1: 21.16, average latency 2: 11.99, average tps: 441.49, average Mbps: 3.48 
Time: 1684814259, number of blocks: 48, average latency 1: 19.47, average latency 2: 11.01, average tps: 421.20, average Mbps: 3.32 
Time: 1684814269, number of blocks: 48, average latency 1: 19.46, average latency 2: 11.01, average tps: 421.15, average Mbps: 3.32 
Time: 1684814279, number of blocks: 51, average latency 1: 18.23, average latency 2: 11.01, average tps: 458.14, average Mbps: 3.62 
Time: 1684814290, number of blocks: 48, average latency 1: 20.80, average latency 2: 12.00, average tps: 567.20, average Mbps: 4.48 
Time: 1684814300, number of blocks: 48, average latency 1: 20.80, average latency 2: 12.01, average tps: 566.60, average Mbps: 4.47 
Time: 1684814310, number of blocks: 51, average latency 1: 21.15, average latency 2: 13.00, average tps: 449.07, average Mbps: 3.54 
Time: 1684814320, number of blocks: 51, average latency 1: 21.13, average latency 2: 12.99, average tps: 449.22, average Mbps: 3.54 
