Time: 1684818992, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819002, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819012, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819022, number of blocks: 28, average latency 1: 13.25, average latency 2: 9.00, average tps: 715.11, average Mbps: 5.64 
Time: 1684819032, number of blocks: 28, average latency 1: 13.25, average latency 2: 9.00, average tps: 715.11, average Mbps: 5.64 
Time: 1684819042, number of blocks: 61, average latency 1: 16.56, average latency 2: 8.00, average tps: 1698.50, average Mbps: 13.40 
Time: 1684819052, number of blocks: 61, average latency 1: 16.56, average latency 2: 8.00, average tps: 1698.50, average Mbps: 13.40 
Time: 1684819062, number of blocks: 61, average latency 1: 16.56, average latency 2: 8.00, average tps: 1698.50, average Mbps: 13.40 
Time: 1684819073, number of blocks: 68, average latency 1: 21.69, average latency 2: 10.00, average tps: 1869.90, average Mbps: 14.75 
Time: 1684819083, number of blocks: 68, average latency 1: 21.69, average latency 2: 10.00, average tps: 1869.90, average Mbps: 14.75 
Time: 1684819093, number of blocks: 68, average latency 1: 21.69, average latency 2: 10.00, average tps: 1869.90, average Mbps: 14.75 
Time: 1684819103, number of blocks: 68, average latency 1: 21.69, average latency 2: 10.00, average tps: 1869.90, average Mbps: 14.75 
Time: 1684819113, number of blocks: 69, average latency 1: 22.29, average latency 2: 6.00, average tps: 4075.00, average Mbps: 32.15 
Time: 1684819123, number of blocks: 69, average latency 1: 22.29, average latency 2: 6.00, average tps: 4075.00, average Mbps: 32.15 
Time: 1684819133, number of blocks: 69, average latency 1: 22.29, average latency 2: 6.00, average tps: 4075.00, average Mbps: 32.15 
Time: 1684819143, number of blocks: 69, average latency 1: 22.29, average latency 2: 6.00, average tps: 4075.00, average Mbps: 32.15 
Time: 1684819153, number of blocks: 71, average latency 1: 24.60, average latency 2: 6.00, average tps: 4557.50, average Mbps: 35.96 
Time: 1684819163, number of blocks: 71, average latency 1: 24.60, average latency 2: 6.00, average tps: 4557.50, average Mbps: 35.96 
Time: 1684819173, number of blocks: 71, average latency 1: 24.60, average latency 2: 6.00, average tps: 4557.50, average Mbps: 35.96 
Time: 1684819183, number of blocks: 71, average latency 1: 24.60, average latency 2: 6.00, average tps: 4557.50, average Mbps: 35.96 
Time: 1684819196, number of blocks: 71, average latency 1: 26.64, average latency 2: 6.00, average tps: 4808.83, average Mbps: 37.94 
Time: 1684819206, number of blocks: 71, average latency 1: 26.64, average latency 2: 6.00, average tps: 4808.83, average Mbps: 37.94 
Time: 1684819216, number of blocks: 71, average latency 1: 26.64, average latency 2: 6.00, average tps: 4808.83, average Mbps: 37.94 
Time: 1684819226, number of blocks: 71, average latency 1: 26.64, average latency 2: 6.00, average tps: 4808.83, average Mbps: 37.94 
Time: 1684819240, number of blocks: 69, average latency 1: 27.75, average latency 2: 6.00, average tps: 4889.67, average Mbps: 38.58 

3401.9
22.4
