Time: 1684809315, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684809325, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684809335, number of blocks: 14, average latency 1: 13.22, average latency 2: 9.00, average tps: 311.00, average Mbps: 2.45 
Time: 1684809345, number of blocks: 26, average latency 1: 12.45, average latency 2: 7.00, average tps: 782.86, average Mbps: 6.18 
Time: 1684809355, number of blocks: 26, average latency 1: 12.45, average latency 2: 7.00, average tps: 782.86, average Mbps: 6.18 
Time: 1684809365, number of blocks: 49, average latency 1: 12.94, average latency 2: 7.00, average tps: 1369.86, average Mbps: 10.81 
Time: 1684809375, number of blocks: 49, average latency 1: 12.94, average latency 2: 7.00, average tps: 1369.86, average Mbps: 10.81 
Time: 1684809385, number of blocks: 49, average latency 1: 12.94, average latency 2: 7.00, average tps: 1369.86, average Mbps: 10.81 
Time: 1684809395, number of blocks: 41, average latency 1: 17.36, average latency 2: 6.00, average tps: 1991.33, average Mbps: 15.71 
Time: 1684809405, number of blocks: 27, average latency 1: 15.60, average latency 2: 6.00, average tps: 756.33, average Mbps: 5.97 
Time: 1684809415, number of blocks: 20, average latency 1: 11.72, average latency 2: 6.00, average tps: 688.00, average Mbps: 5.43 
Time: 1684809425, number of blocks: 22, average latency 1: 11.29, average latency 2: 6.00, average tps: 797.00, average Mbps: 6.29 
Time: 1684809435, number of blocks: 22, average latency 1: 13.03, average latency 2: 6.00, average tps: 646.00, average Mbps: 5.10 
Time: 1684809445, number of blocks: 13, average latency 1: 11.71, average latency 2: 6.00, average tps: 555.33, average Mbps: 4.38 
Time: 1684809455, number of blocks: 20, average latency 1: 11.18, average latency 2: 6.00, average tps: 615.67, average Mbps: 4.86 
Time: 1684809465, number of blocks: 12, average latency 1: 11.50, average latency 2: 6.00, average tps: 469.17, average Mbps: 3.70 
Time: 1684809475, number of blocks: 14, average latency 1: 10.50, average latency 2: 6.00, average tps: 494.17, average Mbps: 3.90 
Time: 1684809485, number of blocks: 14, average latency 1: 10.50, average latency 2: 6.00, average tps: 494.17, average Mbps: 3.90 
Time: 1684809495, number of blocks: 26, average latency 1: 10.61, average latency 2: 6.00, average tps: 901.33, average Mbps: 7.11 
Time: 1684809506, number of blocks: 36, average latency 1: 12.60, average latency 2: 7.00, average tps: 1271.86, average Mbps: 10.04 
Time: 1684809516, number of blocks: 36, average latency 1: 12.60, average latency 2: 7.00, average tps: 1271.86, average Mbps: 10.04 
Time: 1684809526, number of blocks: 40, average latency 1: 15.56, average latency 2: 6.00, average tps: 1761.33, average Mbps: 13.90 
Time: 1684809536, number of blocks: 40, average latency 1: 15.56, average latency 2: 6.00, average tps: 1761.33, average Mbps: 13.90 
Time: 1684809546, number of blocks: 40, average latency 1: 15.56, average latency 2: 6.00, average tps: 1761.33, average Mbps: 13.90 
Time: 1684809556, number of blocks: 59, average latency 1: 16.16, average latency 2: 6.00, average tps: 2211.83, average Mbps: 17.45 
Time: 1684809566, number of blocks: 59, average latency 1: 16.16, average latency 2: 6.00, average tps: 2211.83, average Mbps: 17.45 
Time: 1684809576, number of blocks: 49, average latency 1: 17.54, average latency 2: 6.00, average tps: 2072.50, average Mbps: 16.35 
Time: 1684809586, number of blocks: 49, average latency 1: 17.54, average latency 2: 6.00, average tps: 2072.50, average Mbps: 16.35 
Time: 1684809596, number of blocks: 44, average latency 1: 17.06, average latency 2: 6.00, average tps: 1501.00, average Mbps: 11.84 
Time: 1684809606, number of blocks: 38, average latency 1: 15.55, average latency 2: 6.00, average tps: 1211.33, average Mbps: 9.56 
Time: 1684809616, number of blocks: 38, average latency 1: 15.55, average latency 2: 6.00, average tps: 1211.33, average Mbps: 9.56 
Time: 1684809626, number of blocks: 25, average latency 1: 13.97, average latency 2: 6.00, average tps: 887.67, average Mbps: 7.00 
Time: 1684809636, number of blocks: 24, average latency 1: 12.54, average latency 2: 6.00, average tps: 747.00, average Mbps: 5.89 
Time: 1684809646, number of blocks: 25, average latency 1: 11.95, average latency 2: 6.00, average tps: 686.33, average Mbps: 5.42 
Time: 1684809656, number of blocks: 24, average latency 1: 12.06, average latency 2: 6.00, average tps: 874.83, average Mbps: 6.90 
Time: 1684809666, number of blocks: 18, average latency 1: 13.17, average latency 2: 6.00, average tps: 628.50, average Mbps: 4.96 
Time: 1684809677, number of blocks: 24, average latency 1: 11.73, average latency 2: 6.00, average tps: 641.33, average Mbps: 5.06 
Time: 1684809687, number of blocks: 12, average latency 1: 11.18, average latency 2: 6.00, average tps: 529.50, average Mbps: 4.18 
Time: 1684809697, number of blocks: 12, average latency 1: 11.18, average latency 2: 6.00, average tps: 529.50, average Mbps: 4.18 
Time: 1684809707, number of blocks: 19, average latency 1: 11.70, average latency 2: 6.00, average tps: 603.33, average Mbps: 4.76 
Time: 1684809717, number of blocks: 26, average latency 1: 12.49, average latency 2: 6.00, average tps: 909.67, average Mbps: 7.18 
Time: 1684809727, number of blocks: 24, average latency 1: 12.95, average latency 2: 6.00, average tps: 750.50, average Mbps: 5.92 
Time: 1684809737, number of blocks: 24, average latency 1: 12.24, average latency 2: 6.00, average tps: 696.50, average Mbps: 5.50 
Time: 1684809747, number of blocks: 24, average latency 1: 12.24, average latency 2: 6.00, average tps: 696.50, average Mbps: 5.50 
