Time: 1684818992, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819002, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819012, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819022, number of blocks: 28, average latency 1: 15.25, average latency 2: 11.00, average tps: 585.06, average Mbps: 4.62 
Time: 1684819032, number of blocks: 28, average latency 1: 15.26, average latency 2: 10.99, average tps: 585.45, average Mbps: 4.62 
Time: 1684819042, number of blocks: 61, average latency 1: 19.56, average latency 2: 11.00, average tps: 1234.93, average Mbps: 9.74 
Time: 1684819052, number of blocks: 61, average latency 1: 19.56, average latency 2: 11.00, average tps: 1235.39, average Mbps: 9.75 
Time: 1684819062, number of blocks: 61, average latency 1: 19.56, average latency 2: 11.00, average tps: 1235.21, average Mbps: 9.75 
Time: 1684819073, number of blocks: 68, average latency 1: 25.69, average latency 2: 14.01, average tps: 1334.83, average Mbps: 10.53 
Time: 1684819083, number of blocks: 68, average latency 1: 25.71, average latency 2: 13.99, average tps: 1336.35, average Mbps: 10.54 
Time: 1684819093, number of blocks: 68, average latency 1: 25.70, average latency 2: 14.01, average tps: 1335.06, average Mbps: 10.53 
Time: 1684819103, number of blocks: 68, average latency 1: 25.70, average latency 2: 14.00, average tps: 1335.43, average Mbps: 10.54 
Time: 1684819113, number of blocks: 69, average latency 1: 27.30, average latency 2: 10.99, average tps: 2224.29, average Mbps: 17.55 
Time: 1684819123, number of blocks: 69, average latency 1: 27.28, average latency 2: 10.99, average tps: 2223.76, average Mbps: 17.55 
Time: 1684819133, number of blocks: 69, average latency 1: 27.29, average latency 2: 11.01, average tps: 2220.60, average Mbps: 17.52 
Time: 1684819143, number of blocks: 69, average latency 1: 27.28, average latency 2: 11.00, average tps: 2223.09, average Mbps: 17.54 
Time: 1684819153, number of blocks: 71, average latency 1: 29.59, average latency 2: 11.01, average tps: 2484.15, average Mbps: 19.60 
Time: 1684819163, number of blocks: 71, average latency 1: 29.60, average latency 2: 11.00, average tps: 2486.93, average Mbps: 19.62 
Time: 1684819173, number of blocks: 71, average latency 1: 29.60, average latency 2: 10.99, average tps: 2488.26, average Mbps: 19.63 
Time: 1684819183, number of blocks: 71, average latency 1: 29.59, average latency 2: 10.99, average tps: 2487.25, average Mbps: 19.63 
Time: 1684819196, number of blocks: 71, average latency 1: 32.63, average latency 2: 12.00, average tps: 2405.21, average Mbps: 18.98 
Time: 1684819206, number of blocks: 71, average latency 1: 32.63, average latency 2: 12.00, average tps: 2404.97, average Mbps: 18.98 
Time: 1684819216, number of blocks: 71, average latency 1: 32.65, average latency 2: 12.00, average tps: 2404.47, average Mbps: 18.97 
Time: 1684819226, number of blocks: 71, average latency 1: 32.64, average latency 2: 12.00, average tps: 2404.57, average Mbps: 18.97 
Time: 1684819240, number of blocks: 69, average latency 1: 33.74, average latency 2: 12.00, average tps: 2445.45, average Mbps: 19.30 

1937.9
26.95
