Time: 1684809315, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684809325, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684809335, number of blocks: 14, average latency 1: 15.21, average latency 2: 10.98, average tps: 254.86, average Mbps: 2.01 
Time: 1684809345, number of blocks: 26, average latency 1: 14.44, average latency 2: 8.99, average tps: 609.61, average Mbps: 4.81 
Time: 1684809355, number of blocks: 26, average latency 1: 14.45, average latency 2: 9.00, average tps: 608.73, average Mbps: 4.80 
Time: 1684809365, number of blocks: 49, average latency 1: 15.93, average latency 2: 9.99, average tps: 959.84, average Mbps: 7.57 
Time: 1684809375, number of blocks: 49, average latency 1: 15.93, average latency 2: 10.00, average tps: 958.81, average Mbps: 7.57 
Time: 1684809385, number of blocks: 49, average latency 1: 15.94, average latency 2: 10.00, average tps: 958.50, average Mbps: 7.56 
Time: 1684809395, number of blocks: 41, average latency 1: 20.35, average latency 2: 9.00, average tps: 1327.91, average Mbps: 10.48 
Time: 1684809405, number of blocks: 27, average latency 1: 17.60, average latency 2: 8.01, average tps: 566.24, average Mbps: 4.47 
Time: 1684809415, number of blocks: 20, average latency 1: 13.73, average latency 2: 7.99, average tps: 516.95, average Mbps: 4.08 
Time: 1684809425, number of blocks: 22, average latency 1: 13.27, average latency 2: 8.01, average tps: 596.89, average Mbps: 4.71 
Time: 1684809435, number of blocks: 22, average latency 1: 15.03, average latency 2: 8.01, average tps: 483.78, average Mbps: 3.82 
Time: 1684809445, number of blocks: 13, average latency 1: 13.73, average latency 2: 7.98, average tps: 417.33, average Mbps: 3.29 
Time: 1684809455, number of blocks: 20, average latency 1: 13.18, average latency 2: 7.98, average tps: 462.69, average Mbps: 3.65 
Time: 1684809465, number of blocks: 12, average latency 1: 13.51, average latency 2: 8.00, average tps: 351.91, average Mbps: 2.78 
Time: 1684809475, number of blocks: 14, average latency 1: 12.51, average latency 2: 8.01, average tps: 370.31, average Mbps: 2.92 
Time: 1684809485, number of blocks: 14, average latency 1: 12.51, average latency 2: 7.99, average tps: 371.20, average Mbps: 2.93 
Time: 1684809495, number of blocks: 26, average latency 1: 12.62, average latency 2: 8.01, average tps: 675.25, average Mbps: 5.33 
Time: 1684809506, number of blocks: 36, average latency 1: 15.60, average latency 2: 9.99, average tps: 891.28, average Mbps: 7.03 
Time: 1684809516, number of blocks: 36, average latency 1: 15.62, average latency 2: 10.00, average tps: 890.12, average Mbps: 7.02 
Time: 1684809526, number of blocks: 40, average latency 1: 18.56, average latency 2: 8.99, average tps: 1175.25, average Mbps: 9.27 
Time: 1684809536, number of blocks: 40, average latency 1: 18.54, average latency 2: 9.00, average tps: 1173.88, average Mbps: 9.26 
Time: 1684809546, number of blocks: 40, average latency 1: 18.56, average latency 2: 9.00, average tps: 1174.72, average Mbps: 9.27 
Time: 1684809556, number of blocks: 59, average latency 1: 19.15, average latency 2: 9.01, average tps: 1473.35, average Mbps: 11.63 
Time: 1684809566, number of blocks: 59, average latency 1: 19.16, average latency 2: 9.00, average tps: 1474.91, average Mbps: 11.64 
Time: 1684809576, number of blocks: 49, average latency 1: 20.53, average latency 2: 9.01, average tps: 1380.37, average Mbps: 10.89 
Time: 1684809586, number of blocks: 49, average latency 1: 20.55, average latency 2: 9.00, average tps: 1380.94, average Mbps: 10.90 
Time: 1684809596, number of blocks: 44, average latency 1: 20.07, average latency 2: 9.00, average tps: 1001.17, average Mbps: 7.90 
Time: 1684809606, number of blocks: 38, average latency 1: 18.56, average latency 2: 9.01, average tps: 807.00, average Mbps: 6.37 
Time: 1684809616, number of blocks: 38, average latency 1: 18.55, average latency 2: 9.00, average tps: 807.78, average Mbps: 6.37 
Time: 1684809626, number of blocks: 25, average latency 1: 15.96, average latency 2: 7.98, average tps: 667.24, average Mbps: 5.26 
Time: 1684809636, number of blocks: 24, average latency 1: 14.55, average latency 2: 8.01, average tps: 559.70, average Mbps: 4.42 
Time: 1684809646, number of blocks: 25, average latency 1: 13.95, average latency 2: 7.98, average tps: 515.74, average Mbps: 4.07 
Time: 1684809656, number of blocks: 24, average latency 1: 14.08, average latency 2: 7.99, average tps: 656.56, average Mbps: 5.18 
Time: 1684809666, number of blocks: 18, average latency 1: 15.17, average latency 2: 7.98, average tps: 472.63, average Mbps: 3.73 
Time: 1684809677, number of blocks: 24, average latency 1: 13.75, average latency 2: 7.99, average tps: 481.55, average Mbps: 3.80 
Time: 1684809687, number of blocks: 12, average latency 1: 13.20, average latency 2: 7.99, average tps: 397.41, average Mbps: 3.14 
Time: 1684809697, number of blocks: 12, average latency 1: 13.16, average latency 2: 8.00, average tps: 397.33, average Mbps: 3.14 
Time: 1684809707, number of blocks: 19, average latency 1: 13.70, average latency 2: 7.99, average tps: 453.11, average Mbps: 3.58 
Time: 1684809717, number of blocks: 26, average latency 1: 14.48, average latency 2: 7.99, average tps: 683.27, average Mbps: 5.39 
Time: 1684809727, number of blocks: 24, average latency 1: 14.95, average latency 2: 8.01, average tps: 562.22, average Mbps: 4.44 
Time: 1684809737, number of blocks: 24, average latency 1: 14.24, average latency 2: 8.00, average tps: 522.41, average Mbps: 4.12 
Time: 1684809747, number of blocks: 24, average latency 1: 14.24, average latency 2: 8.02, average tps: 521.16, average Mbps: 4.11 
