Time: 1684801800, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684801810, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684801820, number of blocks: 10, average latency 1: 15.06, average latency 2: 11.00, average tps: 243.73, average Mbps: 1.92 
Time: 1684801830, number of blocks: 10, average latency 1: 15.06, average latency 2: 11.00, average tps: 243.73, average Mbps: 1.92 
Time: 1684801840, number of blocks: 22, average latency 1: 15.32, average latency 2: 9.00, average tps: 693.78, average Mbps: 5.47 
Time: 1684801850, number of blocks: 22, average latency 1: 15.32, average latency 2: 9.00, average tps: 693.78, average Mbps: 5.47 
Time: 1684801860, number of blocks: 37, average latency 1: 16.92, average latency 2: 9.00, average tps: 1319.00, average Mbps: 10.41 
Time: 1684801870, number of blocks: 37, average latency 1: 16.92, average latency 2: 9.00, average tps: 1319.00, average Mbps: 10.41 
Time: 1684801880, number of blocks: 28, average latency 1: 24.71, average latency 2: 9.00, average tps: 1079.67, average Mbps: 8.52 
Time: 1684801890, number of blocks: 28, average latency 1: 24.71, average latency 2: 9.00, average tps: 1079.67, average Mbps: 8.52 
Time: 1684801900, number of blocks: 17, average latency 1: 17.06, average latency 2: 8.00, average tps: 694.88, average Mbps: 5.48 
Time: 1684801911, number of blocks: 14, average latency 1: 14.52, average latency 2: 8.00, average tps: 719.12, average Mbps: 5.67 
Time: 1684801921, number of blocks: 14, average latency 1: 14.52, average latency 2: 8.00, average tps: 719.12, average Mbps: 5.67 
Time: 1684801931, number of blocks: 15, average latency 1: 16.69, average latency 2: 8.00, average tps: 522.50, average Mbps: 4.12 
Time: 1684801941, number of blocks: 16, average latency 1: 14.41, average latency 2: 8.00, average tps: 563.38, average Mbps: 4.45 
Time: 1684801951, number of blocks: 16, average latency 1: 14.41, average latency 2: 8.00, average tps: 563.38, average Mbps: 4.45 
Time: 1684801961, number of blocks: 15, average latency 1: 16.25, average latency 2: 9.00, average tps: 437.00, average Mbps: 3.45 
Time: 1684801971, number of blocks: 13, average latency 1: 14.18, average latency 2: 8.00, average tps: 519.88, average Mbps: 4.10 
Time: 1684801981, number of blocks: 13, average latency 1: 14.18, average latency 2: 8.00, average tps: 519.88, average Mbps: 4.10 
Time: 1684801991, number of blocks: 30, average latency 1: 15.52, average latency 2: 9.00, average tps: 849.56, average Mbps: 6.70 
Time: 1684802001, number of blocks: 30, average latency 1: 15.52, average latency 2: 9.00, average tps: 849.56, average Mbps: 6.70 
Time: 1684802011, number of blocks: 29, average latency 1: 17.29, average latency 2: 8.00, average tps: 1431.88, average Mbps: 11.30 
Time: 1684802021, number of blocks: 29, average latency 1: 17.29, average latency 2: 8.00, average tps: 1431.88, average Mbps: 11.30 
Time: 1684802031, number of blocks: 29, average latency 1: 17.29, average latency 2: 8.00, average tps: 1431.88, average Mbps: 11.30 
Time: 1684802041, number of blocks: 45, average latency 1: 18.61, average latency 2: 8.00, average tps: 1792.75, average Mbps: 14.15 
Time: 1684802051, number of blocks: 45, average latency 1: 18.61, average latency 2: 8.00, average tps: 1792.75, average Mbps: 14.15 
Time: 1684802061, number of blocks: 41, average latency 1: 20.97, average latency 2: 8.00, average tps: 1728.50, average Mbps: 13.64 
Time: 1684802071, number of blocks: 41, average latency 1: 20.97, average latency 2: 8.00, average tps: 1728.50, average Mbps: 13.64 
Time: 1684802081, number of blocks: 26, average latency 1: 21.17, average latency 2: 8.00, average tps: 1234.25, average Mbps: 9.74 
Time: 1684802091, number of blocks: 26, average latency 1: 21.17, average latency 2: 8.00, average tps: 1234.25, average Mbps: 9.74 
Time: 1684802101, number of blocks: 29, average latency 1: 19.70, average latency 2: 8.00, average tps: 985.25, average Mbps: 7.77 
Time: 1684802111, number of blocks: 29, average latency 1: 19.70, average latency 2: 8.00, average tps: 985.25, average Mbps: 7.77 
Time: 1684802121, number of blocks: 21, average latency 1: 17.20, average latency 2: 8.00, average tps: 767.25, average Mbps: 6.05 
Time: 1684802131, number of blocks: 10, average latency 1: 15.95, average latency 2: 8.00, average tps: 587.38, average Mbps: 4.63 
Time: 1684802141, number of blocks: 10, average latency 1: 15.95, average latency 2: 8.00, average tps: 587.38, average Mbps: 4.63 
Time: 1684802151, number of blocks: 16, average latency 1: 15.08, average latency 2: 8.00, average tps: 735.12, average Mbps: 5.80 
Time: 1684802161, number of blocks: 11, average latency 1: 15.46, average latency 2: 8.00, average tps: 545.88, average Mbps: 4.31 
